max_drawdown_log,drawdown_percentage,win_rate,average_win,average_loss,expected_value_per_trade,total_log_return,compounded_return,equity_multiplier,equity_trough,equity_peak,return_std,annualized_sharpe_stocks,annualized_sharpe_crypto,pearson_ic,spearman_ic,seed,model,lag
-0.28997025845682733,-0.2517141775772901,0.2318181818181818,0.00615796888717911,-0.0027091000185810125,-0.0006535522267911659,-0.2875629797881128,-0.24991067518338927,0.7500893248166107,-0.2875629797881129,0.0024072786687144195,0.0070647004931184915,-1.4685434966984452,-1.7673923718592546,0.09933895425248757,-0.08230461370715195,119595,MLP,1
-0.028748424970985353,-0.028339120665112016,0.0022727272727272726,0.0342201077816127,-0.00011195939376636395,-3.393196836777518e-05,-0.01493006608182108,-0.014819165250130384,0.9851808347498696,-0.020401748892448425,0.013818358889164273,0.0019475064337077129,-0.2765861459829729,-0.3328714782171927,0.14412663778759213,-0.08780579424475299,841039,MLP,1
-0.06594425845536328,-0.06381695287366107,0.0022727272727272726,0.016929880666458428,-0.00015249375578347795,-0.00011367017755110998,-0.050014878122488386,-0.04878472790189747,0.9512152720981025,-0.06594425845536328,0.0,0.0030961595665940705,-0.5828052750180953,-0.7014062570581313,-0.011937207102366664,0.047720383029216974,244,MLP,1
-0.262562644596961,-0.2309218157334102,0.12727272727272726,0.005142175144294888,-0.001167940821487091,-0.00036483515311483915,-0.1605274673705292,-0.1483055705558063,0.8516944294441937,-0.23999451514802975,0.022568129448931263,0.0053998204922751265,-1.0725501924261247,-1.2908143563958456,0.1261068158866232,-0.06860295578160856,361366,MLP,1
-0.178769183935424,-0.16370109165577096,0.09545454545454546,0.007581047957839265,-0.0010949045261693842,-0.00026674542542310395,-0.1173679871861658,-0.11074210256466521,0.8892578974353348,-0.13389225290621562,0.04487693102920837,0.004836781894186564,-0.8754689475023544,-1.0536270414147888,0.1370109290462048,-0.040302425971716606,442092,MLP,1
-0.29816098623691534,-0.2578181509331332,0.25227272727272726,0.004773636507621017,-0.002376690125464761,-0.0005728577248453944,-0.25205739893197343,-0.2227998736685557,0.7772001263314443,-0.2891290862117631,0.009031900025152275,0.006441490148730308,-1.4117594297915033,-1.699052736758148,0.05058727927039557,-0.052944300519959485,426588,MLP,1
-0.028798384754691958,-0.028387663419876863,0.0022727272727272726,0.0342201077816127,-0.00013108612693776153,-5.301523169105594e-05,-0.023326701944064613,-0.023056737632066948,0.976943262367933,-0.028798384754691958,0.00542172302692074,0.001979395430407953,-0.42517563675721637,-0.5116989580455109,0.1414474534575584,-0.07191188520188065,807238,MLP,1
-0.08881364859673319,-0.08498392778330277,0.00909090909090909,0.01848189992237069,-0.00027193250894794055,-0.00010144312320868029,-0.044634974211819334,-0.043653490734463896,0.9563465092655361,-0.07951329936594323,0.00930034923078996,0.0037500154071832626,-0.4294274776264721,-0.5168160493237578,0.1352569786036383,-0.024877081048431678,247280,MLP,1
-0.028748424970985353,-0.028339120665112016,0.0022727272727272726,0.0342201077816127,-9.678445321079497e-05,-1.8791516313468857e-05,-0.008268267177926298,-0.008234179071418768,0.9917658209285812,-0.013739949988553643,0.020480157793059055,0.0019282877586735752,-0.15469997784184925,-0.1861814521525364,0.14431131722729448,-0.07086641649715518,589528,MLP,1
-0.038095510445220526,-0.037379003859492665,0.004545454545454545,0.01940320497090501,-0.0001550100354646028,-6.610905816292275e-05,-0.029087985591686006,-0.028669002425812162,0.9713309975741878,-0.032673787418299786,0.00542172302692074,0.0020316516483694204,-0.5165495594134281,-0.6216674909847892,0.14057181467887006,-0.03676275922660888,705597,MLP,1
