max_drawdown_log,drawdown_percentage,win_rate,average_win,average_loss,expected_value_per_trade,total_log_return,compounded_return,equity_multiplier,equity_trough,equity_peak,return_std,annualized_sharpe_stocks,annualized_sharpe_crypto,pearson_ic,spearman_ic,seed,model,lag
-0.40587295434670523,-0.33360517538704615,0.5659090909090909,0.011384530789465466,-0.012347183050701909,0.001082809554301901,0.4764362038928367,0.6103252929408387,1.6103252929408387,-0.03102981210974473,0.5278049274580836,0.018004425440133993,0.9547135422188286,1.148997925918957,-0.1936803541403882,-0.009890654159188484,833633,MLP,1
-0.5069232799923173,-0.3976540193013145,0.5113636363636364,0.010639942089415513,-0.011635044249757665,-0.0002444262354077452,-0.10754754357940718,-0.10196617430666988,0.8980338256933301,-0.1926991467801933,0.31422413321212406,0.01746777407347684,-0.22213169121664902,-0.26733553176131575,-0.023347561186757505,-0.10274206915705372,966518,MLP,1
-0.5203333103535988,-0.4056775788631747,0.48863636363636365,0.0105205724713207,-0.01112441148258167,-0.0005478852323793758,-0.24106950224692436,-0.21421298947243061,0.7857870105275694,-0.3791172819237257,0.14121602842987305,0.017498687284454254,-0.4970320510276621,-0.5981781660065009,-0.05607114875801913,-0.049935832688842774,867524,MLP,1
-0.32744500920452124,-0.2792370744876027,0.5295454545454545,0.01101633794777769,-0.011139129567852294,0.0005931975483790385,0.2610069212867768,0.29823665087075946,1.2982366508707595,-0.14725192793008918,0.31844787716525114,0.017615029944895996,0.5345843394829637,0.6433723521582693,-0.12487109652586119,-0.032438812972678366,786128,MLP,1
-0.5109777251547831,-0.40009125389317757,0.5272727272727272,0.010772698146165568,-0.0123317569130302,-0.00014940788181788678,-0.06573946799986943,-0.06362521188832271,0.9363747881116773,-0.22259330491412815,0.288384420240655,0.017755353210665882,-0.13358093004838598,-0.1607646741987251,-0.004036884489894128,-0.08348434329522307,595043,MLP,1
-0.5561506083058863,-0.4265878912541978,0.48409090909090907,0.010480284984338823,-0.011065506633205534,-0.0006353847819851972,-0.27956930407348696,-0.24389067545688292,0.7561093245431171,-0.40218043153802313,0.1539701767678631,0.01747238235408157,-0.5772779301301603,-0.6947540964557835,-0.06638991806963356,-0.05602475407226464,694170,MLP,1
-0.6392282114315561,-0.47230046060857045,0.4681818181818182,0.009685033832652965,-0.009537949882423416,-0.0005380984158194733,-0.236763302960568,-0.2108219379768238,0.7891780620231762,-0.2952932862256716,0.3439349252058845,0.01487868203707938,-0.5741131851281682,-0.690945325256309,-0.09184462934682804,-0.07100736339265463,36881,MLP,1
-0.4908714317948356,-0.3879072353891736,0.5409090909090909,0.010900792790872698,-0.012719576620301182,5.6895924833780254e-05,0.025034206926863645,0.025350194003643356,1.0253501940036434,-0.13986029224836022,0.3510111395464754,0.01802577584939246,0.050105738243143655,0.060302265310084355,-0.09521311062279875,-0.0756277702265336,270056,MLP,1
-0.49100400736720323,-0.38798837855886403,0.4818181818181818,0.010396394797243183,-0.010185703102794342,-0.00026887411459444385,-0.1183046104215551,-0.11157461223884346,0.8884253877611565,-0.27461747316640595,0.2163865342007973,0.016771427810544113,-0.2544949836956673,-0.30628476028894186,-0.0995864102773633,-0.08536027374296166,607450,MLP,1
-0.40587295434670523,-0.33360517538704615,0.5659090909090909,0.011384530789465466,-0.012347183050701909,0.001082809554301901,0.4764362038928367,0.6103252929408387,1.6103252929408387,-0.03102981210974473,0.5278049274580836,0.018004425440133993,0.9547135422188286,1.148997925918957,-0.10841020562780548,-0.03687813501037298,64566,MLP,1
