max_drawdown_log,drawdown_percentage,win_rate,average_win,average_loss,expected_value_per_trade,total_log_return,compounded_return,equity_multiplier,equity_trough,equity_peak,return_std,annualized_sharpe_stocks,annualized_sharpe_crypto,pearson_ic,spearman_ic,seed,model,lag
-0.38782629591878504,-0.3214698035076273,0.5054773082942097,0.01799006787930656,-0.01651785431928331,0.0009251173084859031,0.5911499601224932,0.8060641233989734,1.8060641233989734,-0.19032927899570495,0.9457423033618397,0.023917777308076125,0.614011151693929,0.7389625354510035,0.09602944157114357,-0.04446370169321782,583418,MLP,1
-0.41112961067119613,-0.337098993011978,0.4507042253521127,0.017933030375432837,-0.013391572686753941,0.0007265582708513687,0.46427073507402383,0.5908536120129291,1.590853612012929,-0.09708253317512572,0.8544657949259999,0.02239153215491649,0.5150944967152026,0.6199163227564036,0.040828252823131676,0.04905491596391305,556138,MLP,1
-0.38782629591878504,-0.3214698035076273,0.5039123630672926,0.018031645929791323,-0.016528547401442203,0.0008867612881621693,0.5666404631356272,0.7623364606854717,1.7623364606854717,-0.20613062306256325,0.9212328063749737,0.023932534644569306,0.58819089802227,0.7078878553469715,0.0859314946581212,0.04288505931796457,148777,MLP,1
-0.38782629591878504,-0.3214698035076273,0.5023474178403756,0.017600055561169343,-0.017050658141109714,0.00035603841355629287,0.2275085462624702,0.25546816926877725,1.2554681692687772,-0.2561965435179445,0.5821008895018167,0.023955431081769032,0.23593541595821432,0.2839483170593579,-0.0013022799502952162,-0.03800278442553626,74217,MLP,1
-0.41112961067119613,-0.337098993011978,0.4647887323943662,0.018005964655439854,-0.014279534285804254,0.0007264018418162484,0.4641707769205823,0.5906946011708238,1.5906946011708238,-0.20567110256706655,0.8543658367725584,0.022852240897959317,0.5046013563203846,0.6072878263364181,0.032250377064271564,0.014253193060434446,657743,MLP,1
-0.33397687491378747,-0.2839296587758813,0.24256651017214398,0.018221112791880226,-0.005638979528818957,0.00014867979779821603,0.09500639079305984,0.09966588284073885,1.0996658828407389,-0.21621168236197263,0.3127782552601275,0.01678896399069256,0.14058155232384467,0.1691899244114223,0.028650324709577152,-0.034701679250003684,39718,MLP,1
-0.431844770340831,-0.3506898389424209,0.26134585289514867,0.01698917971581629,-0.0061666142874100376,-0.0001149435541724841,-0.07344893111621786,-0.070816403051005,0.929183596948995,-0.2877493692376447,0.1440954011031863,0.016465652454391584,-0.1108168874544039,-0.1333681446960347,0.00557079991032933,-0.008341197918966252,744470,MLP,1
-0.42769459892952,-0.3479894908971781,0.38497652582159625,0.018441303193985806,-0.01147167737464918,4.4117961632833894e-05,0.028191377483381075,0.0285925150333024,1.0285925150333024,-0.3236959586520243,0.3834923896702094,0.022280963435408044,0.031432704021965,0.03782926514619828,-0.0032415610977240585,-0.010583666799512685,172776,MLP,1
-0.3356368889508303,-0.2851173595211287,0.20657276995305165,0.018290829552838797,-0.005223321332205895,-0.0003659380507882123,-0.2338344144536677,-0.2085071351761798,0.7914928648238202,-0.2989068092447269,0.04812260580183647,0.016587518821242913,-0.35020828180816027,-0.42147573239825986,-0.018597291464065076,-0.04477518409879298,245023,MLP,1
-0.2750323867367115,-0.24045247643904621,0.2378716744913928,0.018773390530860093,-0.005389443504981681,0.0003582102875816203,0.22889637376465544,0.2572117521384816,1.2572117521384816,-0.16004753817287565,0.3553680809545767,0.017064121127887157,0.3332379080890558,0.4010518844658176,0.04067325575695908,-0.015738277628151352,554567,MLP,1
